hect,quad,tree,d0,d1,d2,fam,gen,sp
1,11,234,,,,,,
1,11,235,,,,Euphorbiaceae,Hevea,Hevea guianensis Aubl.
1,11,236,31.1,31.8,31.2,Sapotaceae,Pouteria,Pouteria reticulata (Engl.) Eyma
1,11,237,30.7,,,Fabaceae,Vatairea,Vatairea paraensis Ducke
1,11,238,11.9,12.6,13,Burseraceae,Protium,Protium hebetatum Daly
1,11,239,,,,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,11,240,48,49.1,50.1,Lecythidaceae,Lecythis,Lecythis prancei S. A. Mori
1,11,241,25,26.7,28.3,Sapotaceae,Pouteria,Pouteria aff. engleri Eyma
1,11,242,,,,Violaceae,Rinorea,Rinorea sp. 1
1,11,243,,,,Annonaceae,Unonopsis,Unonopsis floribunda Diels
1,11,244,,,,Malvaceae,Sterculia,Sterculia pruriens (Aubl.) K. Schum.
1,11,245,,,,Sapotaceae,Pouteria,Pouteria ericoides Penn.
1,11,246,,,,Nyctaginaceae,Neea,Neea sp. 2
1,11,247,14.1,,,Sapotaceae,Sarcaulus,Sarcaulus brasiliensis (A. DC.) Eyma
1,11,248,,,,Moraceae,Trymatococcus,Trymatococcus amazonicus Poepp. & Endl.
1,11,249,39.8,40.1,40,Sapotaceae,Pouteria,Pouteria manaosensis (Aubrev. & Pellegr.) T. D. Penn.
1,11,250,11.6,11.8,12.3,Elaeocarpaceae,Sloanea,Sloanea synandra Spruce ex Benth.
1,11,251,17.5,18,19,Euphorbiaceae,Mabea,Mabea speciosa MÅll. Arg.
1,11,5115,50.2,51.4,51.7,,,
1,11,5499,,10.5,11.9,Fabaceae,Sclerolobium,Sclerolobium melinonii Harms
1,11,5500,,10.4,,Fabaceae,Inga,Inga capitata Desv.
1,11,5501,,10.6,11.7,Violaceae,Rinorea,Rinorea sp. 1
1,11,6537,,,13.1,Fabaceae,Inga,Inga rubiginosa (L. C. Rich.) DC.
1,11,6538,,,12.2,Fabaceae,Sclerolobium,Sclerolobium melinonii Harms
1,11,6539,,,10.1,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,12,252,30.9,31.5,,Violaceae,Rinorea,Rinorea sp. 1
1,12,253,15.5,17,19.5,Annonaceae,Bocageopsis,Bocageopsis multiflora (Mart.) R. E. Fries
1,12,254,15.9,16.5,17.7,Lecythidaceae,Eschweilera,Eschweilera atropetiolata S. A. Mori
1,12,255,10.1,10.4,10.9,Myrtaceae,Eugenia,Eugenia pseudopsidium Jacq.
1,12,256,18.5,19,19.3,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,12,257,18.7,18.9,,Boraginaceae,Cordia,Cordia sagotii I. M. Johnst.
1,12,258,28.3,,,Fabaceae,Tachigali,Tachigali plumbea / Sclerolobium sp. 3
1,12,259,24.2,25.7,27.8,Apocynaceae,Aspidosperma,Aspidosperma oblongum A. DC.
1,12,260,14.2,14.9,15.5,Violaceae,Rinorea,Rinorea sp. 1
1,12,261,42.6,42.9,45.1,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,12,262,12.6,12.7,13.3,Meliaceae,Trichilia,Trichilia areolata Penn.
1,12,263,45.6,46.7,47.3,Lecythidaceae,Eschweilera,Eschweilera micrantha (O. Berg) Miers
1,12,264,,,,Annonaceae,Xylopia,Xylopia crinita R. E. Fries
1,12,265,12.6,13,13.2,Euphorbiaceae,Pausandra,Pausandra macrostachya Ducke
1,12,266,23.7,,,Lauraceae,,Lauraceae sp. 1
1,12,267,,,,Violaceae,Rinorea,Rinorea guianensis Aubl.
1,12,268,81.1,,,Apocynaceae,Aspidosperma,Aspidosperma carapanauba Pichon
1,12,269,20.4,21.2,22.4,Fabaceae,Cynometra,Cynometra longicuspis Ducke
1,12,270,39.5,30,31,Sapotaceae,Pouteria,Pouteria erythrochrysa Penn.
1,12,271,21.4,22,23.5,Lecythidaceae,Eschweilera,Eschweilera romeu-cardosoi S. A. Mori
1,12,272,39.1,41,44,Sapotaceae,Manilkara,Manilkara huberi (Ducke) A. Chev.
1,12,6013,10.6,11.9,13.2,Lecythidaceae,Couratari,Couratari stellata A. C. Smith
1,13,273,13.5,14.5,14.5,Fabaceae,Zygia,Zygia racemosa (Ducke) Barn. & Grimes
1,13,274,46.6,47.4,48,Sapotaceae,Chrysophyllum,Chrysophyllum lucentifolium Cronquist
1,13,275,13.4,14,14.6,Moraceae,Brosimum,Brosimum acutifolium Huber
1,13,276,14.3,15,15.8,Myristicaceae,Virola,Virola venosa (Benth.) Warb.
1,13,277,24.7,25,25,Caryocaraceae,Caryocar,Caryocar pallidum A. C. Smith
1,13,278,18.7,,,Moraceae,Naucleopsis,Naucleopsis caloneura (Huber) Ducke
1,13,279,41.3,42.9,44.5,Vochysiaceae,Qualea,Qualea sp. 1
1,13,280,14.5,15.8,17,Annonaceae,Unonopsis,Unonopsis guatterioides (A. DC.) R. E. Fries
1,13,281,17.6,17.5,,Fabaceae,Eperua,Eperua glabriflora (Ducke) Cowan
1,13,282,15.6,16.6,17.9,Sapotaceae,Pouteria,Pouteria reticulata (Engl.) Eyma
1,13,283,54.5,55.9,57.7,Sapotaceae,Ecclinusa,Ecclinusa guianensis Eyma
1,13,284,13.5,,,Rutaceae,Hortia,Hortia superba Ducke
1,13,285,11.2,,12.1,Lecythidaceae,Eschweilera,Eschweilera truncata A. C. Smith
1,13,286,16.8,17.1,17.7,Fabaceae,Swartzia,Swartzia reticulata Ducke
1,13,287,,,,Fabaceae,Inga,Inga sp. 32
1,13,288,19.6,20.8,,Sapotaceae,Pouteria,Pouteria fimbriata Baehni
1,13,289,26,,,Fabaceae,Andira,Andira micrantha Ducke
1,13,290,11.5,,,Chrysobalanaceae,Hirtella,Hirtella rodriguesii Prance
1,13,291,32.6,,,Moraceae,Brosimum,Brosimum rubescens Taub.
1,13,292,62.7,,,Chrysobalanaceae,Licania,Licania canescens Benoist
1,13,293,13.6,14.6,15.8,Siparunaceae,Siparuna,Siparuna pachyantha A. C. Smith
1,13,294,16.9,17.8,18.5,Ochnaceae,Ouratea,Ouratea sp. 3
1,13,295,13,13.4,14.5,Lauraceae,Licaria,Licaria cannella (Meissn.) Kosterm.
1,13,296,17,17,18,Lecythidaceae,Eschweilera,Eschweilera atropetiolata S. A. Mori
1,13,297,28,29.2,29.5,Sapotaceae,Pouteria,Pouteria cladantha Sandw.
1,13,298,16,17,15.6,Annonaceae,Fusaea,Fusaea longifolia (Aubl.) Saff.
1,13,299,22.9,22.8,23,Nyctaginaceae,Neea,Neea sp. 8
1,13,5116,11.1,12,14.1,Lecythidaceae,Eschweilera,Eschweilera cyathiformis S. A. Mori
1,13,6014,10,10.1,10.1,Sapotaceae,Pouteria,Pouteria venosa (Mart.) Baehni
1,13,6540,,,12,Lauraceae,,
1,13,6797,,,10.1,Fabaceae,Cynometra,Cynometra longicuspis Ducke
1,13,6798,,,10.2,Lacistemataceae,Lacistema,Lacistema grandifolium W. Schniz.
1,14,300,12.7,13.1,,Burseraceae,Protium,Protium hebetatum Daly
1,14,301,12.6,12.8,12.8,Vochysiaceae,Erisma,Erisma bicolor Ducke
1,14,302,17,17.4,17.8,Fabaceae,Peltogyne,Peltogyne excelsa Ducke
1,14,303,20.7,22.3,22.2,Lauraceae,Mezilaurus,Mezilaurus manausensis van der Werff
1,14,304,28.7,33,35.5,Fabaceae,Dimorphandra,Dimorphandra parviflora Benth.
1,14,305,72.4,71.5,,Lecythidaceae,Eschweilera,Eschweilera pseudodecolorans S. A. Mori
1,14,306,74.2,79.2,83,Fabaceae,Swartzia,Swartzia schomburgkii Benth.
1,14,307,,,,Fabaceae,Pseudopiptadenia,Pseudopiptadenia psilostachya (DC.) Lewis & Lima
1,14,308,32.5,33.3,33,Burseraceae,Protium,Protium altsonii Sandwith
1,14,309,12,12.2,12.5,Fabaceae,Inga,Inga aff. sp. 11
1,14,310,20.6,22.2,26.4,Fabaceae,Sclerolobium,"Sclerolobium ""large foliaceous stipules"""
1,14,311,26.9,28.7,28.5,Fabaceae,Inga,Inga capitata Desv.
1,14,312,25,26.8,,Bignoniaceae,Jacaranda,Jacaranda aff. copaia (Aubl.) D. Don
1,14,313,19.3,,,Melastomataceae,Miconia,Miconia regelii Cogn.
1,14,314,,,,Lauraceae,Ocotea,Ocotea sp. 1
1,14,315,12.4,13.6,14.8,Sapotaceae,Pouteria,Pouteria jariensis Pires & T. D. Penn.
1,14,316,18.5,19.7,21,Melastomataceae,Mouriri,Mouriri angulicosta/duckeana/duckeanoides
1,14,317,,,,Fabaceae,Tachigali,Tachigali plumbea / Sclerolobium sp. 3
1,14,318,19.6,22.6,23.3,Fabaceae,Inga,Inga capitata Desv.
1,14,319,27,27.4,28,Fabaceae,Swartzia,Swartzia reticulata Ducke
1,14,320,22.3,26.2,30.8,Elaeocarpaceae,Sloanea,Sloanea eichleri K. Schum.
1,14,321,,,,Myrtaceae,Myrcia,Myrcia grandis McVaugh
1,14,322,16.5,16.6,16.5,Meliaceae,Guarea,Guarea trunciflora C. DC.
1,14,323,26.5,30,31.5,Fabaceae,Stryphnodendron,Stryphnodendron racemiferum (Ducke) W. Rodr.
1,14,5117,11,,,Lecythidaceae,Eschweilera,Eschweilera micrantha (O. Berg) Miers
1,14,5251,12.3,13.4,14.4,Burseraceae,Protium,Protium apiculatum Swart
1,14,6015,10.3,10.3,10.8,Fabaceae,Inga,Inga obidensis Ducke
1,14,6016,10.6,11.5,14.1,Violaceae,Rinorea,Rinorea sp. 1
1,14,6017,10.5,,,Salicaceae,,Flacourtiaceae sp. 2
1,14,6542,,,11.5,Vochysiaceae,Vochysia,Vochysia sp. 1
1,14,6799,,,10.4,Euphorbiaceae,Mabea,Mabea speciosa MÅll. Arg.
1,15,324,15.4,16.5,16.2,Lecythidaceae,Eschweilera,Eschweilera grandiflora (Aubl.) Sandw.
1,15,325,14,14.5,15.2,Myrtaceae,Myrcia,Myrcia grandis McVaugh
1,15,326,,,,Lecythidaceae,Eschweilera,Eschweilera romeu-cardosoi S. A. Mori
1,15,327,19.6,19.7,,Annonaceae,Onychopetalum,Onychopetalum amazonicum R. E. Fries
1,15,328,,,,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,15,329,14.7,15.2,15.7,Moraceae,Naucleopsis,Naucleopsis caloneura (Huber) Ducke
1,15,330,,,,Lecythidaceae,Eschweilera,Eschweilera atropetiolata S. A. Mori
1,15,331,,,,Burseraceae,Protium,Protium hebetatum Daly
1,15,332,23.1,23.5,23.6,Lecythidaceae,Eschweilera,Eschweilera rankiniae S. A. Mori
1,15,333,12.1,12,12,Dichapetalaceae,Tapura,Tapura amazonica Poepp. & Endl.
1,15,334,26,27.8,30.7,Fabaceae,Parkia,Parkia decussata Ducke
1,15,335,17.7,18.7,19.8,Chrysobalanaceae,Licania,Licania impressa Prance
1,15,336,25.1,26.5,27,Moraceae,Maquira,Maquira guianensis Aubl.
1,15,337,23.2,27.6,,Euphorbiaceae,Conceveiba,Conceveiba hostmannii Benth.
1,15,338,13,13.9,,Annonaceae,Xylopia,Xylopia sp. 1
1,15,339,,,,Elaeocarpaceae,Sloanea,Sloanea brachytepala Ducke
1,15,340,19.4,19.5,19.2,Sapotaceae,Pouteria,Pouteria hispida Eyma
1,15,341,14.6,16.5,18.4,Moraceae,Pseudolmedia,Pseudolmedia laevis (Ruiz & Pav.) J. F. Macbr.
1,15,342,,,,Burseraceae,Protium,Protium sagotianum Marchand
1,15,343,18.2,19,19.3,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,15,344,14.9,16.1,19,Calophyllaceae,Caraipa,Caraipa densifolia/heterocarpa
1,15,345,17.4,17.9,18.5,Sapotaceae,Pouteria,Pouteria aff. engleri Eyma
1,15,5118,14.1,15.5,17.2,Fabaceae,Swartzia,Swartzia reticulata Ducke
